URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-arrest-witnessed,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.24",EMSArrestWitnessedVS,EMS Arrest Witnessed VS,"Who witnessed the cardiac arrest (eArrest.04).","StructureDefinition/ext-ems-arrest-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-authorization-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.25",EMSAuthorizationTypeVS,EMS Treatment Authorization Type,"NEMSIS eMedications.11 / eProcedures.11 - How the medication administration or procedure was authorized.","StructureDefinition/ext-ems-procedure-context,StructureDefinition/ext-ems-medication-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-avpu,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.26",EMSAVPUVs,EMS AVPU Level of Responsiveness,"NEMSIS eVitals.26 - The patient's level of responsiveness using the AVPU scale.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-barrier-to-patient-care,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.27",EMSBarrierToPatientCareVS,EMS Barriers to Patient Care,"NEMSIS eHistory.01 - Barriers encountered during patient assessment or care.","StructureDefinition/ext-ems-patient-barrier","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-bp-method,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.28",EMSBPMethodVS,EMS Blood Pressure Measurement Method (ValueSet),"NEMSIS eVitals.08 - The technique used to measure blood pressure.","StructureDefinition/ext-ems-bp-method","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-cardiac-arrest,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.29",EMSCardiacArrestVS,EMS Cardiac Arrest VS,"Whether the patient was in cardiac arrest and when (eArrest.01).","StructureDefinition/ext-ems-arrest-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-cardiac-rhythm,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.30",EMSCardiacRhythmVS,EMS Cardiac Rhythm,"NEMSIS eVitals.03 - Cardiac rhythm or ECG interpretation.","StructureDefinition/ext-ems-arrest-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-caregiver-level,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.31",EMSCaregiverLevelVS,EMS Caregiver Level,"NEMSIS eMedications.10 / eProcedures.10 - Level/role of the healthcare professional who administered the medication or performed the procedure.","StructureDefinition/ems-medicationadministration,StructureDefinition/ems-procedure","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-certification-level,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.32",EMSCertificationLevelVS,EMS Certification Level (ValueSet),"NEMSIS eCrew.02 - The certification/licensure level of the EMS crew member.","StructureDefinition/ems-practitioner,StructureDefinition/ext-ems-certification-level,StructureDefinition/ext-ems-agency-configuration","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-clinical-response,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.33",EMSClinicalResponseVS,EMS Clinical Response to Treatment,"NEMSIS eMedications.07 / eProcedures.08 - Patient response to medication administration or procedure performance.","StructureDefinition/ext-ems-procedure-context,StructureDefinition/ext-ems-medication-context","Internal"
